label,case,dt_dir,interval,dt,r,mean_l00,mean_l01,mean_l10,mean_l11,mean_p01,mean_p10,frac_l01_lt_l00,frac_l01_neg
"time_only | dt=1024 | dxyz=(0,0,0) | timelike",time_only,future,timelike,1024.0,0.0,-0.37062173121263775,-0.48723718876386835,-0.43978600763660125,-0.3706217312126377,0.47127312826326334,0.4829318113146007,0.69,0.63
"time_only | dt=-1024 | dxyz=(0,0,0) | timelike",time_only,past,timelike,-1024.0,0.0,-0.10928437945904658,-0.20821289209538935,-0.20978349500008406,-0.10928437945904657,0.4756483002272833,0.4751915300237755,0.695,0.53
"time_only | dt=4096 | dxyz=(0,0,0) | timelike",time_only,future,timelike,4096.0,0.0,-0.15928297473227804,-3.5756322121146797,-3.8680345447967217,-0.15928297473228087,0.24925364946800405,0.23564224229661745,0.745,0.75
"time_only | dt=-4096 | dxyz=(0,0,0) | timelike",time_only,past,timelike,-4096.0,0.0,-0.031307587231824474,-3.237132399941128,-3.5503977966618696,-0.03130758723182847,0.25239821363021586,0.20785590704300655,0.78,0.755
"mixed_r=0.5 | dt=256 | dxyz=(128,0,0) | timelike",mixed_r=0.5,future,timelike,256.0,128.0,-0.03256818685773677,-0.034437474376511935,-0.04146463426427495,-0.032568186857736825,0.49953280442210973,0.4977778333835124,0.525,0.51
"mixed_r=0.5 | dt=256 | dxyz=(73.9008,73.9008,73.9008) | timelike",mixed_r=0.5,future,timelike,256.0,128.0,-0.2415126979465991,-0.24275296047090883,-0.2519584481984377,-0.24151269794659908,0.4996898349133251,0.49739049001344265,0.52,0.59
"mixed_r=1 | dt=256 | dxyz=(256,0,0) | null",mixed_r=1,future,,256.0,256.0,-0.11581763855256615,-0.12039847320729187,-0.12385066733676114,-0.11581763855256617,0.49885535325361,0.49799330565067323,0.505,0.575
"mixed_r=1 | dt=256 | dxyz=(147.802,147.802,147.802) | spacelike",mixed_r=1,future,spacelike,256.0,256.0,-0.11089981944947812,-0.13226564156198514,-0.1037285301064898,-0.11089981944947809,0.49466140468708025,0.5017925516986378,0.705,0.535
"mixed_r=2 | dt=256 | dxyz=(512,0,0) | spacelike",mixed_r=2,future,spacelike,256.0,512.0,-0.1266971334272234,-0.135044740155614,-0.12967967508575065,-0.12669713342722347,0.49791520112636417,0.49925513713646796,0.545,0.505
"mixed_r=2 | dt=256 | dxyz=(295.603,295.603,295.603) | spacelike",mixed_r=2,future,spacelike,256.0,512.0,0.002281902006430192,-0.01141346661034452,-0.007861634023066597,0.0022819020064301075,0.4965788973422996,0.49746633812803176,0.595,0.535
